crypto,date,open,high,low,close,volume
Bitcoin,2023-01-24,22920.67,23165.56,22437.0,22633.8,44134.956680995376
Bitcoin,2023-01-25,22636.0,23829.3,22320.0,23062.36,47259.84480851867
Bitcoin,2023-01-26,23054.0,23293.3,22853.0,23010.47,35345.7248661083
Bitcoin,2023-01-27,23011.37,23511.9,22492.8,23084.4,32852.829185457995
Bitcoin,2023-01-28,23084.38,23196.99,22876.0,23028.95,9878.719728223237
Bitcoin,2023-01-29,23029.56,23966.0,22974.75,23745.8,28581.721848748643
Bitcoin,2023-01-30,23744.34,23802.99,22500.0,22836.03,41222.80662548693
Bitcoin,2023-01-31,22836.03,23317.9,22719.68,23128.86,27148.271556123087
Bitcoin,2023-02-01,23127.15,23814.0,22753.6,23732.6,26517.182865347102
Bitcoin,2023-02-02,23735.3,24282.1,23367.87,23493.84,24676.16173020268
Bitcoin,2023-02-03,23497.29,23722.0,23208.01,23433.54,19222.84825465529
Bitcoin,2023-02-04,23433.47,23589.8,23248.0,23327.3,5685.312410012582
Bitcoin,2023-02-05,23329.47,23433.2,22758.01,22936.34,10351.179141480836
Bitcoin,2023-02-06,22936.34,23163.05,22599.9,22764.07,16311.523420832384
Bitcoin,2023-02-07,22763.42,23350.0,22742.0,23244.67,13504.322780866576
Bitcoin,2023-02-08,23244.64,23451.01,22669.09,22964.38,11378.222907518755
Bitcoin,2023-02-09,22963.91,23011.18,21700.0,21800.63,27013.921815973008
Bitcoin,2023-02-10,21800.62,21942.41,21467.43,21628.97,16881.11484414792
Bitcoin,2023-02-11,21638.2,21909.8,21605.35,21863.73,6401.988544660282
Bitcoin,2023-02-12,21863.73,22099.9,21631.0,21789.8,8364.02511172997
Bitcoin,2023-02-13,21793.0,21905.0,21354.0,21789.14,18835.595268282505
Bitcoin,2023-02-14,21789.0,22339.0,21505.0,22206.27,19006.534445122405
Bitcoin,2023-02-15,22206.26,24393.0,22038.5,24329.04,31402.045610658723
Bitcoin,2023-02-16,24325.0,25275.7,23500.0,23521.5,41101.59775243664
Bitcoin,2023-02-17,23525.0,25025.0,23340.4,24577.6,32253.073363221676
Bitcoin,2023-02-18,24577.6,24879.33,24407.67,24636.23,8065.40906352316
Bitcoin,2023-02-19,24635.85,25209.0,24178.3,24281.31,15201.75611898101
Bitcoin,2023-02-20,24278.81,25128.11,23841.08,24844.97,19651.801612299885
Bitcoin,2023-02-21,24844.21,25288.88,24153.96,24454.43,25653.493935538558
Bitcoin,2023-02-22,24466.0,24485.0,23578.0,24184.44,25684.691045328484
Bitcoin,2023-02-23,24184.9,24602.8,23612.59,23943.32,24366.147315058763
Bitcoin,2023-02-24,23943.32,24150.0,22520.0,23186.88,28480.65714200921
Bitcoin,2023-02-25,23186.88,23224.9,22716.47,23159.71,8962.125842921549
Bitcoin,2023-02-26,23159.71,23689.77,23052.78,23556.83,9519.063816471218
Bitcoin,2023-02-27,23556.83,23895.51,23108.4,23489.52,17262.048154398562
Bitcoin,2023-02-28,23490.01,23615.0,23027.24,23133.2,13589.055716860028
Bitcoin,2023-03-01,23133.2,24009.0,23025.17,23646.0,16790.070413259436
Bitcoin,2023-03-02,23632.12,23808.0,23196.09,23468.24,12873.239298932689
Bitcoin,2023-03-03,23468.79,23482.0,21910.0,22358.18,29098.163448022664
Bitcoin,2023-03-04,22362.0,22409.82,22150.71,22350.95,3642.1175278400838
Bitcoin,2023-03-05,22349.74,22667.2,22195.13,22432.69,6924.484078001803
Bitcoin,2023-03-06,22431.99,22600.0,22264.73,22410.31,13138.24067444271
Bitcoin,2023-03-07,22410.13,22557.03,21904.3,22198.48,14897.24681633476
Bitcoin,2023-03-08,22194.8,22291.0,21580.84,21698.37,17568.177206105604
Bitcoin,2023-03-09,21712.0,21836.0,20042.3,20367.01,30937.94907550839
Bitcoin,2023-03-10,20366.97,20382.0,19549.9,20230.08,44788.1420894932
Bitcoin,2023-03-11,20230.07,20964.5,19863.0,20620.54,34944.57040214252
Bitcoin,2023-03-12,20619.34,22299.9,20357.0,22219.08,32171.150084912
Bitcoin,2023-03-13,22216.02,24710.0,21867.8,24220.0,59115.52595242586
Bitcoin,2023-03-14,24188.0,26553.9,24051.0,24762.65,66615.07304265896
Bitcoin,2023-03-15,24730.0,25324.0,23913.3,24377.16,40391.47395966212
Bitcoin,2023-03-16,24377.16,25235.28,24186.0,25051.85,29213.22643861599
Bitcoin,2023-03-17,25052.11,27839.2,24946.86,27453.62,61831.95491162201
Bitcoin,2023-03-18,27453.75,27795.0,26547.0,26980.35,28625.33311835562
Bitcoin,2023-03-19,26980.35,28478.0,26838.0,28054.46,28511.705105435078
Bitcoin,2023-03-20,28058.15,28590.6,27130.0,27823.32,35543.219992126826
Bitcoin,2023-03-21,27822.85,28605.32,27312.0,28207.33,23957.917758974072
